Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brakeinfo_74.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brakeinfo_74.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,223,17,36,0,0,169,0,5,,17,17,17,0,0,,0,,0,,4.69,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brakeinfo_74_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\brakeinfo_74_test.cc,12,1,11,0,1,0.00,0.00,0,0,,,,1,,,,,,2,,,,,,,,,,,,,,56,8,31,13,15,18,0,2,,20,18,6,0,12,,1,,0,,0.58,2
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\fuellevel_72.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\fuellevel_72.cc,10,0,9,2,2,0.00,0.00,0,0,,,,0,,,,,,2,,,,,,,,,,,,,,53,8,25,17,11,21,0,2,,11,11,7,0,8,,2,,1,,0.84,3
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\fuellevel_72.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\fuellevel_72.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,74,9,15,0,0,49,0,5,,4,4,4,0,0,,0,,0,,3.27,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\fuellevel_72_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\fuellevel_72_test.cc,9,0,9,0,1,0.00,0.00,0,0,,,,1,,,,,,2,,,,,,,,,,,,,,49,6,26,13,13,18,0,2,,15,16,6,0,10,,1,,0,,0.69,2
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_66.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_66.cc,4,0,4,0,1,0.00,0.00,0,0,,,,0,,,,,,11,,,,,,,,,,,,,,87,17,50,21,22,21,0,2,,24,22,4,0,20,,1,,0,,0.42,11
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_66.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_66.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,125,19,26,0,0,79,0,5,,15,15,15,0,0,,0,,0,,3.04,0
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_66_test.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_66_test.cc,8,1,8,0,1,0.00,0.00,0,0,,,,1,,,,,,2,,,,,,,,,,,,,,48,7,24,11,12,18,0,2,,13,14,4,0,10,,1,,0,,0.75,2
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_67.cc",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_67.cc,17,1,16,0,4,0.00,0.00,0,0,,,,0,,,,,,5,,,,,,,,,,,,,,121,14,88,23,51,20,0,2,,46,62,9,14,47,,14,,1,,0.23,18
File,"D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_67.h",D:\download\apollo-2.0.0\apollo-2.0.0\modules\canbus\vehicle\lincoln\protocol\gear_67.h,0,0,0,0,0,0.00,0.00,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,105,12,17,0,0,75,0,5,,7,7,7,0,0,,0,,0,,4.41,0
